measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,Deaths,18,Thailand,3,Both,22,All ages,717,Self-harm and interpersonal violence,3,Rate,1990,28.548469893062418,33.24594467798494,23.383397855808873
1,Deaths,20,Viet Nam,3,Both,22,All ages,491,Cardiovascular diseases,3,Rate,1990,182.80264885546055,213.83305153279574,154.33648350219926
1,Deaths,20,Viet Nam,3,Both,22,All ages,508,Chronic respiratory diseases,3,Rate,1990,38.38331118607614,48.80566645981254,14.545888764554238
1,Deaths,1,Global,3,Both,22,All ages,344,Neglected tropical diseases and malaria,3,Rate,1990,19.329869728957682,29.000525729909455,11.935317003899904
1,Deaths,1,Global,3,Both,22,All ages,491,Cardiovascular diseases,3,Rate,1990,225.58437562561866,234.61731386820605,213.74050377856884
1,Deaths,16,Philippines,3,Both,22,All ages,717,Self-harm and interpersonal violence,3,Rate,1991,30.02445554124326,32.64878249086523,27.412216357633294
1,Deaths,20,Viet Nam,3,Both,22,All ages,653,Skin and subcutaneous diseases,3,Rate,1990,1.1433452283854926,1.5551474499629012,0.29331684924514323
1,Deaths,20,Viet Nam,3,Both,22,All ages,688,Transport injuries,3,Rate,1990,22.69603223189502,30.784563640887846,17.602065319706657
1,Deaths,1,Global,3,Both,22,All ages,508,Chronic respiratory diseases,3,Rate,1990,57.82884472775642,62.416191698075274,48.29670385783157
1,Deaths,16,Philippines,3,Both,22,All ages,626,Musculoskeletal disorders,3,Rate,1991,0.4270833153341619,0.6080702917977042,0.3248228868864367
1,Deaths,1,Global,3,Both,22,All ages,410,Neoplasms,3,Rate,1990,107.58013098171979,112.00617612120041,102.93300339874249
1,Deaths,1,Global,3,Both,22,All ages,542,Neurological disorders,3,Rate,1990,16.324556041589357,34.55843024827752,8.425870125407828
1,Deaths,1,Global,3,Both,22,All ages,558,Mental disorders,3,Rate,1990,0.003329104693368655,0.003978237639441721,0.002990159813180061
1,Deaths,1,Global,3,Both,22,All ages,653,Skin and subcutaneous diseases,3,Rate,1990,0.9211766319097082,1.1671306967267123,0.7274550226386943
1,Deaths,1,Global,3,Both,22,All ages,688,Transport injuries,3,Rate,1990,22.245430031759334,24.076259225485185,20.90793762014279
1,Deaths,1,Global,3,Both,22,All ages,973,Substance use disorders,3,Rate,1990,3.225867345910546,3.3694911552614077,3.036918057747907
1,Deaths,1,Global,3,Both,22,All ages,717,Self-harm and interpersonal violence,3,Rate,1990,23.072473588534898,24.141011098678344,21.439418972455492
